"Period","Value"
"1","268044"
"2","272020"
"3","275192"
"4","271046"
"5","271394"
"6","273422"
"7","272630"
"8","272918"
"9","277548"
"10","276927"
"11","276029"
"12","275791"
"13","278834"
"14","278773"
"15","276450"
"16","280808"
"17","281496"
"18","280401"
"19","279504"
"20","281413"
"21","276084"
"22","294540"
"23","287111"
"24","283705"
"25","283508"
"26","285054"
"27","284262"
"28","288833"
"29","284951"
"30","287372"
"31","290385"
"32","292650"
"33","288410"
"34","289576"
"35","291484"
"36","293947"
"37","295248"
"38","291167"
"39","296325"
"40","295600"
"41","296410"
"42","299626"
"43","302747"
"44","307809"
"45","305933"
"46","304809"
"47","308527"
"48","307407"
"49","309254"
"50","311393"
"51","316912"
"52","313512"
"53","318964"
"54","314958"
"55","318549"
"56","318977"
"57","324569"
"58","326740"
"59","327836"
"60","331874"
"61","328696"
"62","333026"
"63","333581"
"64","336583"
"65","334522"
"66","343998"
"67","346576"
"68","343307"
"69","343956"
"70","344097"
"71","347325"
"72","347405"
"73","357331"
"74","354706"
"75","355665"
"76","357423"
"77","356704"
"78","357879"
"79","359006"
"80","360691"
"81","358961"
"82","358462"
"83","359266"
"84","363730"
"85","363616"
"86","364006"
"87","367158"
"88","366187"
"89","370934"
"90","368154"
"91","369614"
"92","371358"
"93","372869"
"94","375289"
"95","378860"
"96","374298"
"97","375236"
"98","371833"
"99","372745"
"100","372572"
"101","376036"
"102","376455"
"103","375038"
"104","372284"
"105","366729"
"106","352950"
"107","339350"
"108","332091"
"109","336929"
"110","335576"
"111","329747"
"112","331352"
"113","334256"
"114","339883"
"115","340517"
"116","346668"
"117","338507"
"118","341654"
"119","344375"
"120","346072"
"121","346189"
"122","346787"
"123","354608"
"124","357270"
"125","354015"
"126","354127"
"127","354579"
"128","356747"
"129","359299"
"130","363522"
"131","367345"
"132","369249"
"133","371798"
"134","375056"
"135","378471"
"136","380773"
"137","380282"
"138","383197"
"139","382790"
"140","383946"
"141","387709"
"142","389921"
"143","391589"
"144","391837"
"145","395376"
"146","400228"
"147","401804"
"148","399915"
"149","399363"
"150","396140"
"151","397458"
"152","402152"
"153","405366"
"154","405925"
"155","407580"
"156","408793"
"157","412238"
"158","417250"
"159","414217"
"160","412268"
"161","414137"
"162","415642"
"163","418458"
"164","417547"
"165","417421"
"166","419276"
"167","420556"
"168","422886"
"169","418524"
"170","424674"
"171","429134"
"172","433648"
"173","434351"
"174","435430"
"175","436137"
"176","439650"
"177","438707"
"178","439889"
"179","441277"
"180","438800"
"181","436110"
"182","435340"
"183","441880"
"184","442600"
"185","446206"
"186","446898"
"187","449767"
"188","449975"
"189","448739"
"190","447496"
"191","449242"
"192","450978"
"193","448325"
"194","452555"
"195","451132"
"196","453034"
"197","454683"
"198","459088"
"199","458579"
"200","459022"
"201","461893"
"202","463240"
"203","462994"
"204","468076"
"205","473832"
"206","473582"
"207","472693"
"208","475335"
"209","473242"
"210","474798"
"211","475045"
"212","475653"
"213","486056"
"214","486635"
"215","490648"
"216","492996"
"217","492600"
"218","494815"
"219","494747"
"220","495967"
"221","502351"
"222","501133"
"223","503834"
"224","502875"
"225","502407"
"226","508036"
"227","508471"
"228","497541"
"229","505036"
"230","504686"
"231","512602"
"232","515088"
"233","516965"
"234","519205"
"235","522198"
"236","524547"
"237","522261"
"238","524853"
"239","525014"
"240","525467"
